key,fare_amount
2015-01-27 13:08:24.0000002,20.31471
2015-01-27 13:08:24.0000003,20.16074
2011-10-08 11:53:44.0000002,20.239586
2012-12-01 21:12:12.0000002,20.332407
2012-12-01 21:12:12.0000003,20.491905
2012-12-01 21:12:12.0000005,20.390274
2011-10-06 12:10:20.0000001,20.199833
2011-10-06 12:10:20.0000003,23.244072
2011-10-06 12:10:20.0000002,20.064404
2014-02-18 15:22:20.0000002,20.15324
2014-02-18 15:22:20.0000003,20.354492
2014-02-18 15:22:20.0000001,20.244793
2010-03-29 20:20:32.0000002,20.27982
2010-03-29 20:20:32.0000001,20.235199
2011-10-06 03:59:12.0000002,20.064476
2011-10-06 03:59:12.0000001,19.923313
2012-07-15 16:45:04.0000006,20.250332
2012-07-15 16:45:04.0000002,20.447628
2012-07-15 16:45:04.0000003,20.248795
2012-07-15 16:45:04.0000004,20.21399
2014-10-29 02:09:56.0000001,20.349146
2014-06-14 13:39:00.00000010,20.194294
2014-06-14 13:39:00.00000060,20.153759
2014-06-14 13:39:00.00000087,20.123333
2014-06-14 13:39:00.00000050,20.518867
2014-06-14 13:39:00.0000003,20.166592
2014-06-14 13:39:00.000000158,22.164597
2014-06-14 13:39:00.00000015,19.775394
2014-06-14 13:39:00.00000073,20.229435
2014-06-14 13:39:00.00000077,20.51693
2014-06-14 13:39:00.000000145,20.00283
2014-06-14 13:39:00.00000079,20.294905
2014-06-14 13:39:00.000000121,20.120567
2014-06-14 13:39:00.00000021,20.382324
2014-06-14 13:39:00.0000005,20.27692
2014-06-14 13:39:00.000000165,20.288801
2014-06-14 13:39:00.000000184,20.276695
2014-06-14 13:39:00.00000059,20.28518
2014-06-14 13:39:00.00000070,20.308603
2014-06-14 13:39:00.00000068,20.11668
2014-06-14 13:39:00.000000133,19.856915
2014-06-14 13:39:00.000000128,20.105831
2014-06-14 13:39:00.000000136,20.01807
2014-06-14 13:39:00.00000017,20.099545
2014-06-14 13:39:00.000000111,20.179014
2014-06-14 13:39:00.000000115,20.329422
2014-06-14 13:39:00.000000168,20.235073
2014-06-14 13:39:00.00000031,20.204473
2014-06-14 13:39:00.000000116,20.23415
2014-06-14 13:39:00.00000051,20.244205
2014-06-14 13:39:00.000000193,20.586794
2014-06-14 13:39:00.000000132,20.24528
2014-06-14 13:39:00.000000167,21.061565
2014-06-14 13:39:00.00000044,20.13388
2014-06-14 13:39:00.000000138,20.310999
2014-06-14 13:39:00.00000066,20.436413
2014-06-14 13:39:00.00000063,19.982275
2014-06-14 13:39:00.000000154,20.359474
2014-06-14 13:39:00.00000097,20.44025
2014-06-14 13:39:00.00000067,20.405201
2014-06-14 13:39:00.000000179,20.414455
2014-06-14 13:39:00.00000092,20.338058
2014-06-14 13:39:00.00000029,20.25925
2014-06-14 13:39:00.000000177,20.188416
2014-06-14 13:39:00.000000192,20.131517
2014-06-14 13:39:00.000000181,20.239845
2014-06-14 13:39:00.000000120,20.072891
2014-06-14 13:39:00.0000008,20.136087
